1.49458e-18 1.49458e-17 1.49458e-16 1.49458e-15 1.49458e-14 1.49458e-13 1.49458e-12 1.49458e-11 1.49458e-10 
1.44062e-18 1.44062e-17 1.44062e-16 1.44062e-15 1.44062e-14 1.44062e-13 1.44062e-12 1.44062e-11 1.44062e-10 
1.35832e-18 1.35832e-17 1.35832e-16 1.35832e-15 1.35832e-14 1.35832e-13 1.35832e-12 1.35832e-11 1.35832e-10 
1.25442e-18 1.25442e-17 1.25442e-16 1.25442e-15 1.25442e-14 1.25442e-13 1.25442e-12 1.25442e-11 1.25442e-10 
1.13607e-18 1.13607e-17 1.13607e-16 1.13607e-15 1.13607e-14 1.13607e-13 1.13607e-12 1.13607e-11 1.13607e-10 
1.00959e-18 1.00959e-17 1.00959e-16 1.00959e-15 1.00959e-14 1.00959e-13 1.00959e-12 1.00959e-11 1.00959e-10 
8.80339e-19 8.80339e-18 8.80339e-17 8.80339e-16 8.80339e-15 8.80339e-14 8.80339e-13 8.80339e-12 8.80339e-11 
7.52703e-19 7.52703e-18 7.52703e-17 7.52703e-16 7.52703e-15 7.52703e-14 7.52703e-13 7.52703e-12 7.52703e-11 
6.30198e-19 6.30198e-18 6.30198e-17 6.30198e-16 6.30198e-15 6.30198e-14 6.30198e-13 6.30198e-12 6.30198e-11 
5.15542e-19 5.15542e-18 5.15542e-17 5.15542e-16 5.15542e-15 5.15542e-14 5.15542e-13 5.15542e-12 5.15542e-11 
4.10763e-19 4.10763e-18 4.10763e-17 4.10763e-16 4.10763e-15 4.10763e-14 4.10763e-13 4.10763e-12 4.10763e-11 
3.17297e-19 3.17297e-18 3.17297e-17 3.17297e-16 3.17297e-15 3.17297e-14 3.17297e-13 3.17297e-12 3.17297e-11 
2.36062e-19 2.36062e-18 2.36062e-17 2.36062e-16 2.36062e-15 2.36062e-14 2.36062e-13 2.36062e-12 2.36062e-11 
1.67532e-19 1.67532e-18 1.67532e-17 1.67532e-16 1.67532e-15 1.67532e-14 1.67532e-13 1.67532e-12 1.67532e-11 
1.1178e-19 1.1178e-18 1.1178e-17 1.1178e-16 1.1178e-15 1.1178e-14 1.1178e-13 1.1178e-12 1.1178e-11 
6.84989e-20 6.84989e-19 6.84989e-18 6.84989e-17 6.84989e-16 6.84989e-15 6.84989e-14 6.84989e-13 6.84989e-12 
3.70102e-20 3.70102e-19 3.70102e-18 3.70102e-17 3.70102e-16 3.70102e-15 3.70102e-14 3.70102e-13 3.70102e-12 
1.62377e-20 1.62377e-19 1.62377e-18 1.62377e-17 1.62377e-16 1.62377e-15 1.62377e-14 1.62377e-13 1.62377e-12 
4.65782e-21 4.65782e-20 4.65782e-19 4.65782e-18 4.65782e-17 4.65782e-16 4.65782e-15 4.65782e-14 4.65782e-13 
2.00576e-22 2.00576e-21 2.00576e-20 2.00576e-19 2.00576e-18 2.00576e-17 2.00576e-16 2.00576e-15 2.00576e-14 
3.54463e-23 3.54463e-22 3.54463e-21 3.54463e-20 3.54463e-19 3.54463e-18 3.54463e-17 3.54463e-16 3.54463e-15 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
